clang-format: clang-format version 10.0.0-4ubuntu1 
style: Microsoft
scope: GraphLab/src (production C/C++ source)

DIAGNOSTICS  FILE
154          GraphLab/src/mainwindow.cpp
85           GraphLab/src/utils/helpers.cpp
10           GraphLab/src/utils/helpalgorithm.hpp
9            GraphLab/src/utils/helpalgorithm.cpp
2            GraphLab/src/utils/styles.cpp
40           GraphLab/src/utils/helpers.hpp
2            GraphLab/src/utils/appconstants.hpp
2            GraphLab/src/utils/styles.hpp
24           GraphLab/src/algorithm/Dijkstra/dijkstra.cpp
15           GraphLab/src/algorithm/Dijkstra/dijkstra.hpp
35           GraphLab/src/algorithm/Floyd_Warshall/floyd_warshall.cpp
11           GraphLab/src/algorithm/Floyd_Warshall/floyd_warshall.hpp
27           GraphLab/src/algorithm/MST_Kruskal/mst_kruskal.cpp
14           GraphLab/src/algorithm/MST_Kruskal/mst_kruskal.hpp
21           GraphLab/src/algorithm/MST_Prim/mst_prim.cpp
10           GraphLab/src/algorithm/MST_Prim/mst_prim.hpp
19           GraphLab/src/algorithm/Astar/astar.hpp
40           GraphLab/src/algorithm/Astar/astar.cpp
14           GraphLab/src/algorithm/BFS/bfs.cpp
10           GraphLab/src/algorithm/BFS/bfs.hpp
92           GraphLab/src/algorithm/algorithmrunnable.hpp
10           GraphLab/src/algorithm/DFS/dfs.hpp
17           GraphLab/src/algorithm/DFS/dfs.cpp
21           GraphLab/src/algorithm/Euler/euler.hpp
50           GraphLab/src/algorithm/Euler/euler.cpp
14           GraphLab/src/Serialization/Serializer.hpp
5            GraphLab/src/Serialization/Serializer.cpp
5            GraphLab/src/Serialization/Serializable.hpp
20           GraphLab/src/UI/MessageBox/messagebox.cpp
6            GraphLab/src/UI/MessageBox/messagewidget.hpp
2            GraphLab/src/UI/MessageBox/messagewidget.cpp
23           GraphLab/src/UI/MessageBox/messagebox.hpp
11           GraphLab/src/UI/GraphEditor/Menu/menuwidget.hpp
11           GraphLab/src/UI/GraphEditor/Menu/settingswidget.cpp
25           GraphLab/src/UI/GraphEditor/Menu/menuwidget.cpp
11           GraphLab/src/UI/GraphEditor/Menu/settingswidget.hpp
97           GraphLab/src/UI/GraphEditor/Menu/Algorithm/algorthmwidget.hpp
114          GraphLab/src/UI/GraphEditor/Menu/Algorithm/algorthmwidget.cpp
20           GraphLab/src/UI/GraphEditor/Menu/Algorithm/SelectNode/selectnode.hpp
8            GraphLab/src/UI/GraphEditor/Menu/Algorithm/SelectNode/selectnode.cpp
254          GraphLab/src/UI/GraphEditor/grapheditor.cpp
82           GraphLab/src/UI/GraphEditor/grapheditor.hpp
35           GraphLab/src/UI/GraphEditor/Scene/drawingscene.hpp
96           GraphLab/src/UI/GraphEditor/Scene/drawingnode.cpp
66           GraphLab/src/UI/GraphEditor/Scene/drawingnode.hpp
30           GraphLab/src/UI/GraphEditor/Scene/editabletextitem.cpp
94           GraphLab/src/UI/GraphEditor/Scene/drawingedge.hpp
44           GraphLab/src/UI/GraphEditor/Scene/editabletextitem.hpp
105          GraphLab/src/UI/GraphEditor/Scene/drawingscene.cpp
182          GraphLab/src/UI/GraphEditor/Scene/drawingedge.cpp
21           GraphLab/src/mainwindow.h
3            GraphLab/src/main.cpp
14           GraphLab/src/help/helpbrowser.hpp
11           GraphLab/src/help/helpwindow.hpp
25           GraphLab/src/help/helpwindow.cpp
9            GraphLab/src/help/helpbrowser.cpp
128          GraphLab/src/graph/graph.cpp
28           GraphLab/src/graph/node.hpp
32           GraphLab/src/graph/edge.hpp
89           GraphLab/src/graph/graph.hpp
19           GraphLab/src/Synchronization/openthread.cpp
7            GraphLab/src/Synchronization/openthread.hpp
77           GraphLab/src/Synchronization/runthread.cpp
10           GraphLab/src/Synchronization/savethread.cpp
18           GraphLab/src/Synchronization/runthread.hpp
18           GraphLab/src/Synchronization/savethread.hpp
